,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
343,Colombo,2008-08-24,male,ODI,MS Dhoni,Sri Lanka,India,bat,India,BR Doctrove,TH Wijewardene,R Premadasa Stadium,33,0,India
344,Colombo,2008-08-29,male,ODI,KMDN Kulasekara,Sri Lanka,India,bat,Sri Lanka,BR Doctrove,TH Wijewardene,R Premadasa Stadium,112,0,Sri Lanka
345,Lahore,2008-04-08,male,ODI,Mohammad Yousuf,Pakistan,Bangladesh,bat,Pakistan,Aleem Dar,SA Bucknor,Gaddafi Stadium,152,0,Pakistan
346,Faisalabad,2008-04-11,male,ODI,Salman Butt,Pakistan,Bangladesh,bat,Bangladesh,Aleem Dar,SA Bucknor,Iqbal Stadium,0,7,Pakistan
347,Lahore,2008-04-13,male,ODI,Salman Butt,Pakistan,Bangladesh,bat,Pakistan,SA Bucknor,Nadeem Ghauri,Gaddafi Stadium,23,0,Pakistan
348,,2008-04-16,male,ODI,Shakib Al Hasan,Pakistan,Bangladesh,bat,Bangladesh,SA Bucknor,Zameer Haider,Multan Cricket Stadium,0,7,Pakistan
349,Karachi,2008-04-19,male,ODI,Mohammad Asif,Pakistan,Bangladesh,bat,Pakistan,SA Bucknor,Nadeem Ghauri,National Stadium,150,0,Pakistan
350,Mirpur,2008-06-08,male,ODI,Salman Butt,Bangladesh,Pakistan,field,Bangladesh,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,70,0,Pakistan
351,Mirpur,2008-06-10,male,ODI,V Sehwag,India,Pakistan,bat,India,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,140,0,India
352,Mirpur,2008-06-12,male,ODI,G Gambhir,Bangladesh,India,bat,Bangladesh,EAR de Silva,Nadir Shah,Shere Bangla National Stadium,0,7,India
353,Mirpur,2008-06-14,male,ODI,Younis Khan,India,Pakistan,bat,Pakistan,EAR de Silva,Nadir Shah,Shere Bangla National Stadium,25,0,Pakistan
354,London,2009-09-04,male,ODI,CJ Ferguson,England,Australia,field,England,AL Hill,NJ Llong,Kennington Oval,4,0,Australia
355,London,2009-09-06,male,ODI,MG Johnson,England,Australia,field,England,IJ Gould,AL Hill,Lord's,39,0,Australia
356,Southampton,2009-09-09,male,ODI,CL White,England,Australia,bat,England,PJ Hartley,AL Hill,The Rose Bowl,0,6,Australia
357,London,2009-09-12,male,ODI,B Lee,England,Australia,bat,England,Asad Rauf,NJ Llong,Lord's,0,7,Australia
358,Nottingham,2009-09-15,male,ODI,RT Ponting,England,Australia,bat,England,Asad Rauf,RA Kettleborough,Trent Bridge,0,4,Australia
359,Nottingham,2009-09-17,male,ODI,TD Paine,England,Australia,bat,Australia,Asad Rauf,NJ Llong,Trent Bridge,111,0,Australia
360,Chester-le-Street,2009-09-20,male,ODI,GP Swann,England,Australia,field,England,Asad Rauf,NJ Llong,Riverside Ground,0,4,England
361,Potchefstroom,2008-11-07,male,ODI,DW Steyn,South Africa,Bangladesh,bat,South Africa,M Erasmus,NJ Llong,Senwes Park,61,0,South Africa
362,Durban,2009-04-03,male,ODI,MEK Hussey,South Africa,Australia,bat,Australia,EAR de Silva,RE Koertzen,Kingsmead,141,0,Australia
363,Centurion,2009-04-05,male,ODI,WD Parnell,South Africa,Australia,bat,Australia,EAR de Silva,BG Jerling,SuperSport Park,0,7,South Africa
364,Cape Town,2009-04-09,male,ODI,JH Kallis,South Africa,Australia,bat,South Africa,EAR de Silva,RE Koertzen,Newlands,25,0,South Africa
365,Port Elizabeth,2009-04-13,male,ODI,HH Gibbs,South Africa,Australia,field,Australia,EAR de Silva,BG Jerling,St George's Park,61,0,South Africa
366,Johannesburg,2009-04-17,male,ODI,NM Hauritz,South Africa,Australia,field,South Africa,EAR de Silva,RE Koertzen,New Wanderers Stadium,47,0,Australia
367,,2009-01-16,male,ODI,JA Morkel,Australia,South Africa,bat,Australia,IJ Gould,BNJ Oxenford,Melbourne Cricket Ground,0,3,South Africa
368,Hobart,2009-01-18,male,ODI,SE Marsh,Australia,South Africa,field,South Africa,IJ Gould,RJ Tucker,Bellerive Oval,5,0,Australia
369,,2009-01-23,male,ODI,JA Morkel,Australia,South Africa,bat,Australia,IJ Gould,RJ Tucker,Sydney Cricket Ground,0,3,South Africa
370,,2009-01-26,male,ODI,AB de Villiers,Australia,South Africa,bat,Australia,IJ Gould,DJ Harper,Adelaide Oval,0,8,South Africa
371,Perth,2009-01-30,male,ODI,HM Amla,Australia,South Africa,bat,South Africa,IJ Gould,BNJ Oxenford,Western Australia Cricket Association Ground,39,0,South Africa
372,Perth,2009-02-01,male,ODI,KD Mills,Australia,New Zealand,bat,Australia,SA Bucknor,BNJ Oxenford,Western Australia Cricket Association Ground,0,2,New Zealand
373,,2009-02-06,male,ODI,MJ Clarke,Australia,New Zealand,field,New Zealand,SA Bucknor,PR Reiffel,Melbourne Cricket Ground,0,6,New Zealand
374,,2009-02-08,male,ODI,BJ Haddin,Australia,New Zealand,field,New Zealand,SA Bucknor,SJA Taufel,Sydney Cricket Ground,32,0,Australia
375,,2009-02-10,male,ODI,DJ Hussey,Australia,New Zealand,bat,New Zealand,SA Bucknor,SJ Davis,Adelaide Oval,0,6,Australia
376,Brisbane,2009-02-13,male,ODI,,Australia,New Zealand,field,New Zealand,SA Bucknor,RJ Tucker,"Brisbane Cricket Ground, Woolloongabba",0,0,no result
377,Guyana,2009-03-20,male,ODI,PD Collingwood,West Indies,England,bat,England,Aleem Dar,CR Duncan,Providence Stadium,1,0,England
378,Guyana,2009-03-22,male,ODI,S Chanderpaul,West Indies,England,bat,West Indies,Aleem Dar,CR Duncan,Providence Stadium,21,0,West Indies
